nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
FELIX-LEBRUN,6326,6338,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,m2,,topspin,17.663113021850585,-88.56270643870036,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,6339,6347,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,topspin,7.354838943481445,118.84046910603841,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,6876,6906,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_gauche,,g2,,,71.35641403198242,-80.18089135487874,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,6907,6916,garcon,revers,1,att/att,DAN-QIU,,intermediaire,m2,,topspin,-11.117903518676759,63.87713495890299,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,6917,6925,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,d2,,topspin,-32.933334541320804,-58.591717910766604,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,6926,6938,garcon,coup_droit,1,att/att,DAN-QIU,,intermediaire,d2,,topspin,30.303798294067384,87.62850863138834,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,6939,6946,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,offensif,d3,,topspin,-46.96629180908203,-111.1953017393748,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,6947,6959,garcon,coup_droit,1,att/att,DAN-QIU,,intermediaire,g3,,topspin,-67.15068516731262,126.16625645955403,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,6960,6969,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,m2,,topspin,4.75,-64.60795335769653,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,6971,6992,garcon,revers,1,att/att,DAN-QIU,,intermediaire,m3,,bloc,2.13391227722168,127.15472768147787,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,6993,7003,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,offensif,m2,,topspin,7.354838943481445,-53.59472255706787,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,7004,7016,garcon,revers,1,att/att,DAN-QIU,,offensif,g3,,topspin,-35.714921379089354,115.03117396036784,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,7017,7028,garcon,revers,1,att/att,FELIX-LEBRUN,,intermediaire,m2,,bloc,-3.1323211669921873,-57.19364833831787,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,7029,7047,garcon,coup_droit,1,att/att,DAN-QIU,,offensif,g3,,topspin,-64.22779006958008,125.87885386149088,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,7048,7076,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FELIX-LEBRUN,DAN-QIU
FELIX-LEBRUN,7382,7421,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_droit,,m2,,,20.212766265869142,-65.32011445363362,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,7422,7442,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,DAN-QIU,FELIX-LEBRUN
DAN-QIU,7808,7839,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,d2,,,37.761006927490236,61.332756169637044,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,7840,7860,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,FELIX-LEBRUN,DAN-QIU
FELIX-LEBRUN,8113,8130,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_droit,,d2,,,-58.42176923751831,-58.14945621490479,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,8131,8147,garcon,coup_droit,1,att/att,DAN-QIU,,defensif,m2,,poussette,-16.49999866485596,64.15729064941407,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,8148,8157,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,offensif,d3,,topspin,-55.53846139907837,-97.24125712712606,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,8158,8169,garcon,coup_droit,1,att/att,serveur_point_contre,,intermediaire,d3,pt_gagne,bloc,32.799998092651364,133.0669848124186,2,DAN-QIU,FELIX-LEBRUN
