nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
DARKO-JORGIC,4763,4781,garcon,coup_droit,1,att/att,DARKO-JORGIC,,defensif,m2,,poussette,-16.035725593566895,-63.91012058258057,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4782,4795,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,-6.619348526000977,60.971334075927736,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,4796,4825,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5078,5133,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m3,,,-6.22069091796875,101.15536677042643,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,5134,5144,garcon,revers,1,att/att,DARKO-JORGIC,,offensif,g3,,topspin,32.56271553039551,-123.49732797940572,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5145,5152,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-66.68398766517639,126.33610585530599,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,5153,5161,garcon,revers,1,att/att,DARKO-JORGIC,,offensif,g3,,bloc,42.32870712280273,-104.72428146998088,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5162,5171,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,-28.51682605743408,82.06626319885254,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,5172,5195,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,bloc,,,,DARKO-JORGIC,ALEXIS-LEBRUN
DARKO-JORGIC,5512,5540,garcon,revers,1,att/att,DARKO-JORGIC,lat_gauche,,m2,,,-13.272639083862305,-62.051288795471194,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5541,5553,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,-6.386704635620117,84.4216475168864,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,5554,5564,garcon,revers,1,att/att,DARKO-JORGIC,,offensif,d3,,topspin,-47.994640064239505,-108.2901824315389,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5565,5598,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,6033,6047,garcon,revers,1,att/att,DARKO-JORGIC,lat_gauche,,m2,,,-5.080128479003906,-54.8711015701294,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,6048,6073,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,ALEXIS-LEBRUN,DARKO-JORGIC
ALEXIS-LEBRUN,6796,6814,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m3,,,7.067915344238282,109.06761360168457,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,6815,6824,garcon,revers,1,att/att,DARKO-JORGIC,,intermediaire,m3,,topspin,17.712717819213868,-120.69403229554494,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,6825,6846,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,DARKO-JORGIC
