nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,competition,match,joueurA,joueurB,droitier_gaucher_joueurA,droitier_gaucher_joueurB,prise_joueurA,prise_joueurB
LEBRUN,7989,8013,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,-63.2955322265625,263.0404052734375,g6,64.4075927734375,-237.10069274902344,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,8382,8406,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,d2,,-44.72027587890625,189.4786376953125,g5,101.996337890625,-145.83840942382812,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,8407,8425,garcon,coup_droit,1,att/att,LIANG,,poussette,g2,,20.83447265625,177.51629638671875,m4,64.62969970703125,-216.35452270507812,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,8426,8446,garcon,coup_droit,1,att/att,LEBRUN,,poussette,d2,,-25.90814208984375,225.17047119140625,g5,106.82403564453125,-213.23876953125,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,8447,8469,garcon,coup_droit,1,att/att,serveur_point_pour,,poussette,,filet,43.85546875,185.29443359375,d5,42.71380615234375,-241.59957885742188,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,8898,8955,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,m2,,43.06292724609375,-207.26950073242188,g5,-118.86572265625,174.55767822265625,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,8956,8967,garcon,coup_droit,1,att/att,LEBRUN,,poussette,m2,,40.35498046875,-161.58016967773438,g4,-8.09906005859375,209.50701904296875,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,8968,8982,garcon,revers,1,att/att,LIANG,,offensif,g3,,17.22406005859375,-201.32830810546875,m5,-29.5997314453125,221.159912109375,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,8983,8996,garcon,revers,1,att/att,LEBRUN,,defensif,m2,,45.73382568359375,-254.0390625,g6,-63.32012939453125,259.7373046875,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,8997,9017,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,g2,pt_gagne,51.47454833984375,-301.7652282714844,g7,-97.49261474609375,242.40411376953125,h6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
