nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,joueurA,joueurB,num_point
FAN-ZHENDONG,56916,56929,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,-80.007996,388.30536,h8,93.22742,-148.70508,h4,FAN-ZHENDONG,TRULS-MOREGARD,66
TRULS-MOREGARD,56930,56943,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,filet,70.34601,400,d8,58.9682,-144.81683,g4,FAN-ZHENDONG,TRULS-MOREGARD,66
TRULS-MOREGARD,57443,57486,garcon,coup_droit,4,att/att,TRULS-MOREGARD,lat_droit,,g1,,-70.95166,295.1009,g7,92.479065,-102.32367,h3,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57487,57501,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g3,,-72.42175,273.44025,g6,83.14923,-98.48184,h3,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57502,57508,garcon,revers,4,att/att,TRULS-MOREGARD,,offensif,g2,,-90.45117,270.90442,h6,122.4624,-125.396545,h3,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57509,57518,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,d3,,-94.96649,353.56256,h8,151.88068,-72.35788,i3,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57519,57541,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,intermediaire,m2,,-89.37305,379.93298,h8,124.43585,-137.0,h4,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57542,57556,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,m3,,-51.013245,348.86328,g8,-72.68524,-336.31512,d8,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57557,57582,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,g2,,-34.691772,333.30103,g8,-12.897583,-392.78247,m8,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57583,57595,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,g3,,-71.763794,245.0816,g6,22.29419,-343.4975,m8,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57596,57612,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,m2,,-94.30286,252.12286,h6,58.89337,-262.00018,g6,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57613,57621,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,d3,,-95.997925,249.00311,h6,116.69275,-208.22906,h5,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57622,57639,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,intermediaire,d2,,-107.91791,265.1897,h6,99.97101,-192.23785,h5,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57640,57652,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,intermediaire,d2,,-38.57068,259.82416,g6,71.23834,-172.4032,g4,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57653,57670,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,intermediaire,d2,,71.68744,302.29285,d7,7.008423,-188.62485,m5,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,57671,57688,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,99.828064,319.28613,e7,-141.75473,-78.47299,f3,FAN-ZHENDONG,TRULS-MOREGARD,67
TRULS-MOREGARD,57689,57710,garcon,revers,4,att/att,serveur_point_pour,,intermediaire,,out,189.61609,261.75195,f6,-150.76074,-137.0,f4,FAN-ZHENDONG,TRULS-MOREGARD,67
FAN-ZHENDONG,58460,58507,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,g3,,81.56299,-106.11691,h3,-76.52716,219.62018,h5,FAN-ZHENDONG,TRULS-MOREGARD,68
TRULS-MOREGARD,58508,58517,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,offensif,m3,,144.22864,-38.98938,i3,-76.31128,273.56836,h6,FAN-ZHENDONG,TRULS-MOREGARD,68
FAN-ZHENDONG,58518,58528,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,filet,153.70654,-28.101013,i3,-77.91919,361.7967,h8,FAN-ZHENDONG,TRULS-MOREGARD,68
FAN-ZHENDONG,59206,59238,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,g3,,83.67316,-137.0,h4,-75.841675,216.37231,g5,FAN-ZHENDONG,TRULS-MOREGARD,69
TRULS-MOREGARD,59239,59251,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,g2,,76.489746,-106.10419,h3,-73.977234,273.49146,g6,FAN-ZHENDONG,TRULS-MOREGARD,69
FAN-ZHENDONG,59252,59261,garcon,revers,4,att/att,FAN-ZHENDONG,,offensif,m3,,121.89612,-137.0,h4,-84.63782,344.19885,h8,FAN-ZHENDONG,TRULS-MOREGARD,69
TRULS-MOREGARD,59262,59273,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,g2,,113.58539,-184.19305,h5,-94.03369,338.5573,h8,FAN-ZHENDONG,TRULS-MOREGARD,69
FAN-ZHENDONG,59274,59284,garcon,revers,4,att/att,FAN-ZHENDONG,,offensif,g3,,71.304565,-266.04358,g6,-68.55145,370.27045,g8,FAN-ZHENDONG,TRULS-MOREGARD,69
TRULS-MOREGARD,59285,59295,garcon,revers,4,att/att,serveur_point_pour,,intermediaire,,filet,79.78058,-236.98056,h6,-67.8902,367.29962,g8,FAN-ZHENDONG,TRULS-MOREGARD,69
TRULS-MOREGARD,60323,60351,garcon,coup_droit,4,att/att,TRULS-MOREGARD,lat_droit,,d2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,70
FAN-ZHENDONG,60352,60361,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,d3,,54.79358,-164.51389,g4,-29.85669,268.92426,g6,FAN-ZHENDONG,TRULS-MOREGARD,70
TRULS-MOREGARD,60362,60371,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,intermediaire,g3,,28.045593,-133.09418,g4,-1.8223267,292.70398,m7,FAN-ZHENDONG,TRULS-MOREGARD,70
FAN-ZHENDONG,60372,60383,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,-52.98987,-160.76407,d4,4.0438843,349.67267,m8,FAN-ZHENDONG,TRULS-MOREGARD,70
TRULS-MOREGARD,60384,60397,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,m3,,-60.58258,-148.85147,d4,-55.6568,372.6812,g8,FAN-ZHENDONG,TRULS-MOREGARD,70
FAN-ZHENDONG,60398,60411,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,d2,,77.20026,-241.11456,h6,-95.814575,388.97113,h8,FAN-ZHENDONG,TRULS-MOREGARD,70
TRULS-MOREGARD,60412,60456,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,filet,77.92395,-303.89084,h7,-83.11261,344.14008,h8,FAN-ZHENDONG,TRULS-MOREGARD,70
TRULS-MOREGARD,61076,61104,garcon,coup_droit,4,att/att,TRULS-MOREGARD,lat_droit,,g1,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
FAN-ZHENDONG,61105,61118,garcon,revers,4,att/att,FAN-ZHENDONG,,defensif,m2,,78.97925,-102.285614,h3,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
TRULS-MOREGARD,61119,61137,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,m3,,79.31476,-129.22897,h3,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
FAN-ZHENDONG,61138,61152,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g3,,56.178772,-109.89319,g4,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
TRULS-MOREGARD,61153,61167,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,offensif,g3,,92.187744,-137.0,h4,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
FAN-ZHENDONG,61168,61176,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g2,,116.31421,-152.59402,h4,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
TRULS-MOREGARD,61177,61186,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,m2,,93.16431,-144.79517,h4,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
FAN-ZHENDONG,61187,61196,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,m3,,116.63861,-129.25253,h3,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
TRULS-MOREGARD,61197,61216,garcon,coup_droit,4,att/att,serveur_point_contre,,intermediaire,m3,pt_gagne,78.606445,-140.89807,h4,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,71
FAN-ZHENDONG,61946,61988,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,m2,,77.52002,-121.48837,h3,-75.63135,222.81665,g5,FAN-ZHENDONG,TRULS-MOREGARD,72
TRULS-MOREGARD,61989,62008,garcon,revers,4,att/att,TRULS-MOREGARD,,defensif,d2,,62.817444,-90.79846,g4,-62.049194,282.4308,g7,FAN-ZHENDONG,TRULS-MOREGARD,72
FAN-ZHENDONG,62009,62022,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,g3,,0.0067749023,-188.65405,m5,-46.06012,303.43658,g7,FAN-ZHENDONG,TRULS-MOREGARD,72
TRULS-MOREGARD,62023,62032,garcon,revers,4,att/att,TRULS-MOREGARD,,intermediaire,d3,,16.729736,-164.59879,m4,-38.028442,284.71484,g7,FAN-ZHENDONG,TRULS-MOREGARD,72
FAN-ZHENDONG,62033,62052,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,out,67.46301,-137.0,g4,-64.04193,319.31293,g7,FAN-ZHENDONG,TRULS-MOREGARD,72
FAN-ZHENDONG,62712,62754,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,m2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,73
TRULS-MOREGARD,62755,62772,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,defensif,g2,,103.71716,-31.318329,h3,-55.336792,272.87762,g6,FAN-ZHENDONG,TRULS-MOREGARD,73
FAN-ZHENDONG,62773,62787,garcon,revers,4,att/att,FAN-ZHENDONG,,intermediaire,g3,,84.15106,-109.95465,h3,-36.64331,348.3022,g8,FAN-ZHENDONG,TRULS-MOREGARD,73
TRULS-MOREGARD,62788,62795,garcon,revers,4,att/att,serveur_point_contre,,intermediaire,d2,pt_gagne,90.48578,-137.0,h4,-54.448975,334.04877,g8,FAN-ZHENDONG,TRULS-MOREGARD,73
TRULS-MOREGARD,63452,63477,garcon,coup_droit,4,att/att,TRULS-MOREGARD,lat_droit,,d1,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,74
FAN-ZHENDONG,63478,63490,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,d3,,-24.999146,281.18292,m7,47.737427,-125.32587,g4,FAN-ZHENDONG,TRULS-MOREGARD,74
TRULS-MOREGARD,63491,63504,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,intermediaire,g3,,11.045044,276.88232,m7,47.737427,-125.32587,g4,FAN-ZHENDONG,TRULS-MOREGARD,74
FAN-ZHENDONG,63505,63522,garcon,revers,4,att/att,serveur_point_pour,,intermediaire,,out,21.39746,384.03412,m8,-21.735962,-117.47473,m4,FAN-ZHENDONG,TRULS-MOREGARD,74
TRULS-MOREGARD,64022,64038,garcon,coup_droit,4,att/att,TRULS-MOREGARD,lat_droit,,d2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,75
FAN-ZHENDONG,64039,64053,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,offensif,d3,,-400,-400,f8,-33.533386,278.37262,g7,FAN-ZHENDONG,TRULS-MOREGARD,75
TRULS-MOREGARD,64054,64072,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,out,-400,-400,f8,-14.189636,283.906,m7,FAN-ZHENDONG,TRULS-MOREGARD,75
FAN-ZHENDONG,64869,64900,garcon,coup_droit,4,att/att,FAN-ZHENDONG,lat_droit,,g2,,-83.08154,213.34113,h5,101.32587,-125.37656,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
TRULS-MOREGARD,64901,64912,garcon,revers,4,att/att,TRULS-MOREGARD,,defensif,m1,,-64.095825,291.78094,g7,90.55481,-87.11301,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
FAN-ZHENDONG,64913,64928,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,g3,,-56.37799,291.51526,g7,80.91632,-121.492645,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
TRULS-MOREGARD,64929,64941,garcon,revers,4,att/att,TRULS-MOREGARD,,defensif,m1,,-40.901184,294.05896,g7,92.923645,-27.56015,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
FAN-ZHENDONG,64942,64961,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,defensif,m2,,-62.101685,307.06348,g7,87.4765,-106.131744,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
TRULS-MOREGARD,64962,64971,garcon,coup_droit,4,att/att,TRULS-MOREGARD,,offensif,d2,,-47.976013,288.1421,g7,114.51782,-72.16055,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
FAN-ZHENDONG,64972,64981,garcon,coup_droit,4,att/att,FAN-ZHENDONG,,intermediaire,g2,,-20.095215,344.6855,m8,80.57739,-31.119293,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
TRULS-MOREGARD,64982,65006,garcon,coup_droit,4,att/att,serveur_point_pour,,intermediaire,,out,45.168335,342.15265,d8,81.65216,-49.5856,h3,FAN-ZHENDONG,TRULS-MOREGARD,76
FAN-ZHENDONG,67130,67183,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,-74.448364,282.8484,g7,89.678406,-31.19757,h3,FAN-ZHENDONG,TRULS-MOREGARD,77
TRULS-MOREGARD,67184,67198,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,d3,,-63.741028,251.17041,g6,67.70209,-71.9133,g4,FAN-ZHENDONG,TRULS-MOREGARD,77
FAN-ZHENDONG,67199,67211,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,offensif,m2,,-69.31189,273.33783,g6,75.68799,-109.936035,g4,FAN-ZHENDONG,TRULS-MOREGARD,77
TRULS-MOREGARD,67212,67222,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,g3,,-42.68976,348.53827,g8,87.080444,-137.0,h4,FAN-ZHENDONG,TRULS-MOREGARD,77
FAN-ZHENDONG,67223,67231,garcon,revers,5,att/att,FAN-ZHENDONG,,intermediaire,g2,,-58.157593,400,g8,64.338806,-172.42303,g4,FAN-ZHENDONG,TRULS-MOREGARD,77
TRULS-MOREGARD,67232,67245,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,m3,,-100.02985,400,h8,96.04523,-113.816345,h3,FAN-ZHENDONG,TRULS-MOREGARD,77
FAN-ZHENDONG,67246,67256,garcon,revers,5,att/att,FAN-ZHENDONG,,offensif,g3,,-135.21362,400,i8,72.66943,-144.80817,g4,FAN-ZHENDONG,TRULS-MOREGARD,77
TRULS-MOREGARD,67257,67278,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,-98.932495,400,h8,67.78955,-172.41312,g4,FAN-ZHENDONG,TRULS-MOREGARD,77
FAN-ZHENDONG,67598,67640,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,90.56354,-34.878784,h3,-89.98212,283.37152,h7,FAN-ZHENDONG,TRULS-MOREGARD,78
TRULS-MOREGARD,67641,67661,garcon,coup_droit,5,att/att,serveur_point_pour,,defensif,,out,69.56763,-90.82376,g4,-106.78607,217.24939,h5,FAN-ZHENDONG,TRULS-MOREGARD,78
TRULS-MOREGARD,68031,68070,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_droit,,m2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,79
FAN-ZHENDONG,68071,68085,garcon,revers,5,att/att,FAN-ZHENDONG,,offensif,g2,,-74.21979,241.97784,g6,53.714783,-125.33151,g4,FAN-ZHENDONG,TRULS-MOREGARD,79
TRULS-MOREGARD,68086,68097,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,offensif,g2,,-120.435974,299.90698,h7,59.82544,-144.81631,g4,FAN-ZHENDONG,TRULS-MOREGARD,79
FAN-ZHENDONG,68098,68105,garcon,revers,5,att/att,FAN-ZHENDONG,,intermediaire,m2,,-145.81705,306.96918,i7,74.68524,-172.39331,g4,FAN-ZHENDONG,TRULS-MOREGARD,79
TRULS-MOREGARD,68106,68123,garcon,coup_droit,5,att/att,serveur_point_pour,,intermediaire,,out,-125.609436,321.56848,h8,125.28223,-137.0,h4,FAN-ZHENDONG,TRULS-MOREGARD,79
TRULS-MOREGARD,70102,70125,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_gauche,,d2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,80
FAN-ZHENDONG,70126,70141,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g2,,-400,-400,f8,-57.75006,269.83575,g6,FAN-ZHENDONG,TRULS-MOREGARD,80
TRULS-MOREGARD,70142,70154,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,offensif,g3,,-400,-400,f8,-127.69269,246.7962,i6,FAN-ZHENDONG,TRULS-MOREGARD,80
FAN-ZHENDONG,70155,70170,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,filet,-400,-400,f8,-158.86807,257.31757,i6,FAN-ZHENDONG,TRULS-MOREGARD,80
FAN-ZHENDONG,70620,70664,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,d1,,-76.88025,279.82172,h7,90.505066,-31.204681,h3,FAN-ZHENDONG,TRULS-MOREGARD,81
TRULS-MOREGARD,70665,70678,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,defensif,d2,,-42.03485,244.17023,g6,51.614563,-220.81195,g5,FAN-ZHENDONG,TRULS-MOREGARD,81
FAN-ZHENDONG,70679,70691,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g2,,10.7473755,233.06183,m6,9.375427,-94.42056,m4,FAN-ZHENDONG,TRULS-MOREGARD,81
TRULS-MOREGARD,70692,70709,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,m3,,38.44409,345.37012,d8,-52.71338,-148.844,d4,FAN-ZHENDONG,TRULS-MOREGARD,81
FAN-ZHENDONG,70710,70722,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,offensif,d2,,-24.890686,329.9309,m8,80.51221,-156.57013,h4,FAN-ZHENDONG,TRULS-MOREGARD,81
TRULS-MOREGARD,70723,70745,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,intermediaire,m3,,-54.152527,372.61957,g8,120.11133,-133.12326,h3,FAN-ZHENDONG,TRULS-MOREGARD,81
FAN-ZHENDONG,70746,70760,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,offensif,d2,,79.73578,400,e8,14.187256,-152.72375,m4,FAN-ZHENDONG,TRULS-MOREGARD,81
TRULS-MOREGARD,70761,70785,garcon,coup_droit,5,att/att,serveur_point_pour,,intermediaire,,out,27.518066,400,d8,16.729736,-164.59879,m4,FAN-ZHENDONG,TRULS-MOREGARD,81
FAN-ZHENDONG,71185,71229,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,d2,,-86.87225,283.26678,h7,90.56354,-34.878784,h3,FAN-ZHENDONG,TRULS-MOREGARD,82
TRULS-MOREGARD,71230,71240,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,defensif,g3,,-30.569336,272.062,g6,52.00757,-125.329895,g4,FAN-ZHENDONG,TRULS-MOREGARD,82
FAN-ZHENDONG,71241,71253,garcon,revers,5,att/att,FAN-ZHENDONG,,intermediaire,m2,,-18.714233,240.29034,m6,34.912598,-133.09634,g4,FAN-ZHENDONG,TRULS-MOREGARD,82
TRULS-MOREGARD,71254,71270,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,g3,,-64.68329,297.96014,g7,75.19086,-140.89914,g4,FAN-ZHENDONG,TRULS-MOREGARD,82
FAN-ZHENDONG,71271,71285,garcon,revers,5,att/att,FAN-ZHENDONG,,offensif,m2,,-64.960815,288.7226,g7,37.55664,-196.54782,g5,FAN-ZHENDONG,TRULS-MOREGARD,82
TRULS-MOREGARD,71286,71305,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,-71.28107,379.18365,g8,41.907288,-192.49881,g5,FAN-ZHENDONG,TRULS-MOREGARD,82
TRULS-MOREGARD,71843,71848,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_droit,,d2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,83
FAN-ZHENDONG,71849,71860,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g1,,-400,-400,f8,-30.556396,312.02368,g7,FAN-ZHENDONG,TRULS-MOREGARD,83
TRULS-MOREGARD,71861,71875,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,defensif,d2,,-400,-400,f8,-47.594666,303.49097,g7,FAN-ZHENDONG,TRULS-MOREGARD,83
FAN-ZHENDONG,71876,71892,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g2,,-400,-400,f8,-35.91327,275.34802,g7,FAN-ZHENDONG,TRULS-MOREGARD,83
TRULS-MOREGARD,71893,71902,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,m2,,-400,-400,f8,-55.18976,306.81702,g7,FAN-ZHENDONG,TRULS-MOREGARD,83
FAN-ZHENDONG,71903,71922,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,intermediaire,m2,,-400,-400,f8,-67.862915,294.99377,g7,FAN-ZHENDONG,TRULS-MOREGARD,83
TRULS-MOREGARD,71923,71941,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,-400,-400,f8,-90.09363,341.411,h8,FAN-ZHENDONG,TRULS-MOREGARD,83
TRULS-MOREGARD,72332,72355,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_droit,,g3,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,84
FAN-ZHENDONG,72356,72366,garcon,revers,5,att/att,FAN-ZHENDONG,,intermediaire,g2,,-75.636536,270.4203,g6,54.5459,-121.45944,g4,FAN-ZHENDONG,TRULS-MOREGARD,84
TRULS-MOREGARD,72367,72375,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,m2,,-90.59833,308.0796,h7,76.0,-137.0,h4,FAN-ZHENDONG,TRULS-MOREGARD,84
FAN-ZHENDONG,72376,72397,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,d1,,-99.39905,242.74329,h6,72.01807,-164.47546,g4,FAN-ZHENDONG,TRULS-MOREGARD,84
TRULS-MOREGARD,72398,72417,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,offensif,d3,,-86.54913,270.77692,h6,37.574768,-212.75244,g5,FAN-ZHENDONG,TRULS-MOREGARD,84
FAN-ZHENDONG,72418,72431,garcon,coup_droit,5,att/att,serveur_point_contre,,offensif,d3,pt_gagne,30.894714,235.6239,d6,-56.08441,-217.43066,d5,FAN-ZHENDONG,TRULS-MOREGARD,84
FAN-ZHENDONG,73018,73048,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,g1,,-88.54242,280.2116,h7,95.59003,-38.60013,h3,FAN-ZHENDONG,TRULS-MOREGARD,85
TRULS-MOREGARD,73049,73061,garcon,revers,5,att/att,TRULS-MOREGARD,,defensif,m3,,-68.92261,260.7931,g6,63.66162,-90.801636,g4,FAN-ZHENDONG,TRULS-MOREGARD,85
FAN-ZHENDONG,73062,73078,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,intermediaire,g2,,-78.7525,270.52216,h6,69.02106,-121.47766,g4,FAN-ZHENDONG,TRULS-MOREGARD,85
TRULS-MOREGARD,73079,73084,garcon,revers,5,att/att,serveur_point_contre,,offensif,d3,pt_gagne,-84.86383,317.03412,h7,95.078064,-57.1091,h3,FAN-ZHENDONG,TRULS-MOREGARD,85
FAN-ZHENDONG,73619,73667,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,-73.77405,279.7179,g7,89.73596,-34.871887,h3,FAN-ZHENDONG,TRULS-MOREGARD,86
TRULS-MOREGARD,73668,73679,garcon,coup_droit,5,att/att,TRULS-MOREGARD,,defensif,g2,,-92.791016,229.74652,h6,52.881775,-129.21228,g4,FAN-ZHENDONG,TRULS-MOREGARD,86
FAN-ZHENDONG,73680,73696,garcon,revers,5,att/att,FAN-ZHENDONG,,defensif,m3,,-51.978027,222.13397,g5,51.40045,-176.44232,g4,FAN-ZHENDONG,TRULS-MOREGARD,86
TRULS-MOREGARD,73697,73709,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,g3,,-63.769592,328.37885,g8,97.86969,-121.51401,h3,FAN-ZHENDONG,TRULS-MOREGARD,86
FAN-ZHENDONG,73710,73719,garcon,revers,5,att/att,FAN-ZHENDONG,,offensif,m2,,-48.209045,309.6178,g7,71.77344,-140.90024,g4,FAN-ZHENDONG,TRULS-MOREGARD,86
TRULS-MOREGARD,73720,73735,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,-79.74817,352.96466,h8,72.18286,-180.35977,g4,FAN-ZHENDONG,TRULS-MOREGARD,86
TRULS-MOREGARD,74143,74168,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_droit,,d2,,-76.421326,222.83948,h5,61.599182,-152.66351,g4,FAN-ZHENDONG,TRULS-MOREGARD,87
FAN-ZHENDONG,74169,74184,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g2,,-56.547363,285.34314,g7,58.006653,-129.21552,g4,FAN-ZHENDONG,TRULS-MOREGARD,87
TRULS-MOREGARD,74185,74192,garcon,revers,5,att/att,TRULS-MOREGARD,,offensif,g3,,-45.96234,275.68146,g7,58.006653,-129.21552,g4,FAN-ZHENDONG,TRULS-MOREGARD,87
FAN-ZHENDONG,74193,74201,garcon,revers,5,att/att,serveur_point_contre,,offensif,d3,pt_gagne,-74.21979,241.97784,g6,75.95514,-133.10931,g4,FAN-ZHENDONG,TRULS-MOREGARD,87
TRULS-MOREGARD,74585,74611,garcon,coup_droit,5,att/att,TRULS-MOREGARD,lat_gauche,,g3,,-72.49829,196.78247,g5,61.599182,-152.66351,g4,FAN-ZHENDONG,TRULS-MOREGARD,88
FAN-ZHENDONG,74612,74623,garcon,revers,5,att/att,FAN-ZHENDONG,,intermediaire,g3,,-71.98718,213.02954,g5,40.100525,-156.63437,g4,FAN-ZHENDONG,TRULS-MOREGARD,88
TRULS-MOREGARD,74624,74633,garcon,revers,5,att/att,TRULS-MOREGARD,,intermediaire,m2,,-98.04407,296.04022,h7,77.70599,-137.0,h4,FAN-ZHENDONG,TRULS-MOREGARD,88
