nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,2792,2804,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,3.778517150878906,106.91836547851562,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-577.2994728088379,-415.8064270019531,f8,72.5244140625,279.2596435546875,d7
FAN-ZHENDONG,2805,2813,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,72.17979278564454,-93.01998138427734,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-451.2174835205078,-427.7197380065918,f8,43.689208984375,334.435546875,d8
ALEXIS-LEBRUN,2814,2839,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-578.5629653930664,-507.51983070373535,f8,109.11541748046875,331.07318115234375,e8
ALEXIS-LEBRUN,3092,3127,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m1,,,22.41202583312988,45.24225222269694,2,ALEXIS-LEBRUN,FAN-ZHENDONG,99.109619140625,-131.61431884765625,h3,-67.8779296875,188.666015625,g5
FAN-ZHENDONG,3128,3160,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,69.995849609375,-210.53189086914062,g5,-10.18914794921875,159.4481201171875,m4
ALEXIS-LEBRUN,3427,3446,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.417217636108397,47.73684336344401,2,ALEXIS-LEBRUN,FAN-ZHENDONG,119.75341796875,-118.06451416015625,h3,-52.75323486328125,185.903564453125,g5
FAN-ZHENDONG,3447,3462,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-20.30394878387451,-49.45304520924886,2,FAN-ZHENDONG,ALEXIS-LEBRUN,55.625732421875,-202.2694091796875,g5,-13.56512451171875,165.76568603515625,m4
ALEXIS-LEBRUN,3463,3488,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,25.3787841796875,-181.39273071289062,g4,24.45355224609375,202.90240478515625,m5
FAN-ZHENDONG,3899,3929,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,7.1313926696777346,-63.16030082702637,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-114.4827880859375,153.15533447265625,h4,37.63641357421875,-206.77645874023438,g5
ALEXIS-LEBRUN,3930,3944,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-34.3060302734375,211.28515625,g5,61.45068359375,-202.14151000976562,g5
FAN-ZHENDONG,3945,3955,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,14.157951354980469,-86.4560295422872,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-41.376953125,234.325439453125,g6,79.8121337890625,-207.93325805664062,h5
ALEXIS-LEBRUN,3956,3968,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,-6.380239486694336,79.31712443033854,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-12.99749755859375,255.71063232421875,m6,76.77215576171875,-259.749755859375,h6
FAN-ZHENDONG,3969,3980,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-5.2909198760986325,-74.28618532816569,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-59.54833984375,289.2919921875,g7,73.85198974609375,-283.6852569580078,g7
